City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
198,Airai,TL,2021-10-11 23:30:18,-8.9266,125.4092,72.86,53,65,2.82,broken clouds
199,Chiredzi,ZW,2021-10-11 23:33:16,-21.05,31.6667,60.75,47,0,4.36,clear sky
200,Springhill,US,2021-10-11 23:33:17,33.006,-93.4668,83.8,55,0,3.0,clear sky
201,Jalu,LY,2021-10-11 23:33:17,29.0331,21.5482,76.37,27,0,5.77,clear sky
202,Antsohihy,MG,2021-10-11 23:33:18,-14.8796,47.9875,72.66,66,56,4.79,broken clouds
203,Chalus,IR,2021-10-11 23:33:18,36.655,51.4204,56.66,88,0,2.3,clear sky
204,Svetlogorsk,BY,2021-10-11 23:33:18,52.6333,29.7333,41.85,73,99,5.66,overcast clouds
205,Constitucion,CL,2021-10-11 23:31:27,-35.3333,-72.4167,51.57,92,10,2.28,clear sky
206,Nikolskoye,RU,2021-10-11 23:30:13,59.7035,30.7861,41.88,71,70,8.59,light rain
207,Jiayuguan,CN,2021-10-11 23:33:19,39.8167,98.3,42.51,23,95,10.45,overcast clouds
208,Genhe,CN,2021-10-11 23:33:19,50.7833,121.5167,39.04,68,15,3.91,few clouds
209,San Quintin,MX,2021-10-11 23:33:19,30.4833,-115.95,67.53,72,0,15.64,clear sky
210,Brattleboro,US,2021-10-11 23:33:20,42.8509,-72.5579,62.22,91,51,1.99,broken clouds
211,Pizarro,CO,2021-10-11 23:33:20,4.9533,-77.366,78.08,89,94,6.06,light rain
212,Hamilton,US,2021-10-11 23:31:36,39.1834,-84.5333,77.41,72,1,1.99,clear sky
213,Pundaguitan,PH,2021-10-11 23:33:20,6.3711,126.1689,84.25,72,100,12.66,moderate rain
214,Hasaki,JP,2021-10-11 23:33:21,35.7333,140.8333,72.0,89,100,20.42,overcast clouds
215,Moron,AR,2021-10-11 23:33:21,-34.6534,-58.6198,64.15,86,59,5.01,broken clouds
216,Lujan,AR,2021-10-11 23:30:04,-34.5703,-59.105,64.15,84,59,4.0,broken clouds
217,Pringsewu,ID,2021-10-11 23:33:21,-5.3582,104.9744,78.78,84,97,5.35,overcast clouds
218,Nelson Bay,AU,2021-10-11 23:33:22,-32.7167,152.15,63.09,66,100,3.0,light rain
219,Mogadishu,SO,2021-10-11 23:30:04,2.0371,45.3438,77.74,85,95,15.79,overcast clouds
220,Halifax,CA,2021-10-11 23:31:19,44.6453,-63.5724,59.05,91,12,3.44,few clouds
221,Tura,IN,2021-10-11 23:33:22,25.5198,90.2201,72.14,90,4,3.83,clear sky
222,Oudtshoorn,ZA,2021-10-11 23:33:22,-33.5907,22.2014,55.76,30,93,2.17,overcast clouds
223,Bathsheba,BB,2021-10-11 23:30:01,13.2167,-59.5167,81.21,83,20,8.05,light rain
224,San Isidro,PE,2021-10-11 23:33:23,-12.1167,-77.05,65.01,86,90,1.01,overcast clouds
225,Port-Gentil,GA,2021-10-11 23:31:08,-0.7193,8.7815,76.96,94,75,3.44,light rain
226,Ahipara,NZ,2021-10-11 23:33:23,-35.1667,173.1667,59.83,62,96,16.35,overcast clouds
227,Boa Vista,BR,2021-10-11 23:33:23,2.8197,-60.6733,80.58,78,75,1.14,thunderstorm
228,Kloulklubed,PW,2021-10-11 23:33:23,7.0419,134.2556,82.9,75,97,8.68,overcast clouds
229,Kedougou,SN,2021-10-11 23:33:24,12.5579,-12.1743,77.31,87,76,3.38,light rain
230,Talaya,RU,2021-10-11 23:33:24,61.3833,152.75,17.55,66,83,3.29,broken clouds
231,Bahia Blanca,AR,2021-10-11 23:29:42,-38.7196,-62.2724,68.86,47,62,4.34,broken clouds
232,Digby,CA,2021-10-11 23:31:23,44.6169,-65.7655,55.58,88,2,4.92,clear sky
233,Goderich,CA,2021-10-11 23:33:24,43.7501,-81.7165,73.9,68,100,10.36,overcast clouds
234,Barcelona,ES,2021-10-11 23:32:24,41.3888,2.159,64.54,81,0,1.99,clear sky
235,Zyryanovsk,KZ,2021-10-11 23:33:25,49.7386,84.2719,35.4,100,100,2.62,overcast clouds
236,Talnakh,RU,2021-10-11 23:30:46,69.4865,88.3972,18.07,96,100,4.74,overcast clouds
237,Torbay,CA,2021-10-11 23:30:52,47.6666,-52.7314,48.27,94,75,9.22,broken clouds
238,Port Lincoln,AU,2021-10-11 23:32:14,-34.7333,135.8667,62.56,41,100,19.35,overcast clouds
239,Vao,NC,2021-10-11 23:33:25,-22.6667,167.4833,71.64,72,94,14.23,overcast clouds
240,Whyalla,AU,2021-10-11 23:33:26,-33.0333,137.5833,62.49,29,92,8.05,overcast clouds
241,Coihaique,CL,2021-10-11 23:33:26,-45.5752,-72.0662,51.75,50,90,3.44,overcast clouds
242,Altay,CN,2021-10-11 23:33:26,47.8667,88.1167,30.97,71,77,6.69,broken clouds
243,Georgetown,MY,2021-10-11 23:29:29,5.4112,100.3354,76.95,89,20,2.3,few clouds
244,Zelenogorskiy,RU,2021-10-11 23:33:27,55.0333,87.0,27.12,93,100,3.44,light snow
245,Bartica,GY,2021-10-11 23:33:27,6.4,-58.6167,80.92,96,66,2.59,broken clouds
246,Mount Gambier,AU,2021-10-11 23:30:40,-37.8333,140.7667,51.71,71,70,11.5,broken clouds
247,Lorengau,PG,2021-10-11 23:30:10,-2.0226,147.2712,85.89,68,16,7.87,few clouds
248,Poum,NC,2021-10-11 23:30:42,-20.2333,164.0167,75.76,79,93,18.61,overcast clouds
249,General Roca,AR,2021-10-11 23:33:28,-39.0333,-67.5833,72.0,17,70,8.68,light rain
250,Lompoc,US,2021-10-11 23:31:17,34.6391,-120.4579,70.57,63,1,21.85,haze
251,Ucluelet,CA,2021-10-11 23:31:36,48.9329,-125.5528,57.09,80,6,1.01,clear sky
252,Dahegam,IN,2021-10-11 23:33:28,23.1667,72.8167,78.57,71,0,2.73,clear sky
253,Dingle,PH,2021-10-11 23:33:28,10.9995,122.6711,77.45,96,100,16.06,overcast clouds
254,Mimongo,GA,2021-10-11 23:33:29,-1.6195,11.6068,71.13,99,100,1.97,overcast clouds
255,Morro Bay,US,2021-10-11 23:33:29,35.3658,-120.8499,70.68,42,0,23.0,clear sky
256,Ardesen,TR,2021-10-11 23:33:29,41.1911,40.9875,57.16,69,78,3.98,broken clouds
257,Tiksi,RU,2021-10-11 23:30:30,71.6872,128.8694,28.31,98,100,4.9,light snow
258,Ribeira Grande,PT,2021-10-11 23:30:24,38.5167,-28.7,70.07,76,82,6.71,broken clouds
